Image	BBox	Label
img_100199.jpg	[820, 626, 900, 663]	plate
img_100199.jpg	[816, 633, 899, 672]	plate
img_100400.jpg	[582, 946, 632, 986]	plate
img_100603.jpg	[1423, 674, 1495, 712]	plate
img_100603.jpg	[992, 371, 1033, 394]	plate
img_100806.jpg	[1566, 768, 1641, 802]	plate
img_100806.jpg	[991, 372, 1037, 389]	plate
img_101008.jpg	[989, 367, 1035, 391]	plate
img_101008.jpg	[232, 1141, 280, 1203]	plate
img_101413.jpg	[995, 369, 1036, 393]	plate
img_101819.jpg	[894, 509, 955, 539]	plate
img_102020.jpg	[859, 513, 932, 543]	plate
img_102223.jpg	[912, 511, 973, 536]	plate
img_102426.jpg	[1653, 726, 1694, 758]	plate
img_102831.jpg	[975, 502, 1028, 529]	plate
img_103033.jpg	[933, 436, 981, 460]	plate
img_103236.jpg	[372, 1105, 422, 1166]	plate
img_103641.jpg	[835, 499, 900, 534]	plate
img_103844.jpg	[562, 694, 654, 739]	plate
img_104046.jpg	[578, 769, 676, 831]	plate
img_104451.jpg	[520, 888, 572, 934]	plate
img_104451.jpg	[1611, 497, 1637, 519]	plate
img_104654.jpg	[644, 424, 676, 453]	plate
img_105261.jpg	[915, 548, 948, 579]	plate
img_105261.jpg	[1266, 539, 1303, 567]	plate
img_105464.jpg	[889, 449, 941, 480]	plate
img_106274.jpg	[1980, 1194, 2047, 1252]	plate
img_106882.jpg	[1291, 571, 1324, 605]	plate
img_107084.jpg	[930, 438, 990, 472]	plate
img_107287.jpg	[919, 512, 949, 536]	plate
img_107287.jpg	[729, 428, 762, 453]	plate
img_108097.jpg	[1938, 1175, 2019, 1230]	plate
img_108704.jpg	[1934, 1216, 2017, 1278]	plate
img_108907.jpg	[922, 575, 954, 600]	plate
img_109109.jpg	[1339, 463, 1370, 487]	plate
img_109311.jpg	[917, 655, 958, 682]	plate
img_109514.jpg	[1024, 353, 1067, 379]	plate
img_109717.jpg	[1281, 516, 1336, 543]	plate
img_110120.jpg	[805, 576, 884, 611]	plate
img_110729.jpg	[1387, 532, 1423, 558]	plate
img_110931.jpg	[408, 844, 446, 886]	plate
img_111336.jpg	[1264, 554, 1330, 585]	plate
img_111539.jpg	[1778, 946, 1833, 994]	plate
img_111539.jpg	[1467, 872, 1518, 930]	plate
img_111944.jpg	[865, 507, 928, 540]	plate
img_112146.jpg	[946, 555, 983, 585]	plate
img_112349.jpg	[367, 912, 476, 973]	plate
img_112551.jpg	[1020, 366, 1072, 388]	plate
img_112754.jpg	[102, 1093, 151, 1149]	plate
img_112957.jpg	[196, 1206, 350, 1308]	plate
img_112957.jpg	[1155, 466, 1182, 495]	plate
img_112957.jpg	[908, 444, 976, 472]	plate
img_113159.jpg	[356, 895, 494, 966]	plate
img_113767.jpg	[1441, 609, 1476, 643]	plate
img_113767.jpg	[956, 408, 981, 430]	plate
img_114171.jpg	[681, 708, 729, 748]	plate
img_114374.jpg	[1413, 555, 1451, 577]	plate
img_114577.jpg	[298, 1053, 442, 1131]	plate
img_114982.jpg	[988, 506, 1021, 538]	plate
img_115184.jpg	[880, 423, 927, 447]	plate
img_115387.jpg	[1230, 485, 1281, 509]	plate
img_115792.jpg	[807, 537, 842, 566]	plate
img_115792.jpg	[880, 496, 916, 517]	plate
img_115792.jpg	[920, 341, 964, 362]	plate
img_115995.jpg	[919, 344, 963, 367]	plate
img_121664.jpg	[1509, 1061, 1608, 1119]	plate
img_121867.jpg	[663, 1365, 730, 1432]	plate
img_121867.jpg	[136, 1502, 222, 1530]	plate
img_122271.jpg	[1217, 1110, 1330, 1185]	plate
img_122271.jpg	[1811, 786, 1884, 823]	plate
img_122474.jpg	[781, 812, 857, 836]	plate
img_122474.jpg	[781, 820, 856, 848]	plate
